bare,translations_en
углевод,carbohydrate
ходатайство,application
алиби,alibi
пожарник,fireman
кокаин,cocaine
мордочка,muzzle
диспут,public debate
промывание,washing
приятельница,friend
мытьё,washing
рычание,growl
амортизатор,shock-absorber
мамонт,mammoth
уступка,concession
глупец,fool
страус,ostrich
сердцебиение,palpitation
статуэтка,statuette
тёзка,namesake
обелиск,obelisk
кондиционер,air-conditioner
стечение,confluence
броневик,armoured car
мягкость,softness
щёчка,jaw
буржуй,bourgeois
пелёнка,nappy
кувалда,sledge-hammer
чернь,common people
торец,butt-end
баранина,mutton
прокладка,laying
жучок,home-made electrical fuse
ремесленник,artisan
хорват,Croat
зимовка,wintering
подстилка,bedding
ревматизм,rheumatism
беспризорник,homeless child
наволочка,pillow-case
аттестат,certificate
побуждение,motive
осада,siege
ария,aria
распорядитель,manager
улитка,snail
дёготь,tar
забой,slaughter
невесомость,imponderability
пояснение,explanation
настрой,mood
смещение,displacement
натуга,effort
кабачок,small restaurant
ёлочка,herring-bone
вылазка,sally
царевич,tsarevitch
агрессор,aggressor
мена,exchange
функционирование,functioning
козырь,trump
гауптвахта,guard-room
воевода,voevode
ударник,udarnik
спикер,speaker
коршун,kite
кладовая,larder
аккорд,chord
закупка,purchase
велосипедист,bicyclist
жуть,horror
импорт,import
бифштекс,steak
противогаз,gas-mask
гортань,larynx
подлокотник,elbow-rest
работница,worker
лесть,flattery
индеец,Indian
ультиматум,ultimatum
мундштук,mouthpiece
позволение,permission
бочка,barrel
сохранность,safety
изнеможение,exhaustion
бляха,name-plate
домохозяйка,houseowner
земляника,strawberry
облучение,irradiation
чурка,chock
ларь,chest
стык,joint
извещение,notification
римлянин,Roman
флакон,bottle
секира,pole-axe
неразбериха,confusion
гордыня,pride
промысел,trade
мачеха,stepmother
прозаик,prose writer
законность,lawfulness
огородник,market-gardener
клешня,claw
пупок,gizzard
грач,rook
прививок,Inoculations
излишек,surplus
извращение,perversion
подвох,dirty trick
физиология,physiology
дуэт,duet
запятая,comma
мойка,washing
пробоина,hole
озабоченность,preoccupation
резон,reason
амбразура,embrasure
журналистика,journalism
ярус,tier
пролом,breach
забытьё,unconsciousness
клеймо,stamp
овация,ovation
черновик,rough copy
пансионат,holiday hotel
жребий,lot
интерпретация,interpretation
задержание,detention
порядочность,decency
вдох,inhalation
симпозиум,symposium
триумф,triumph
коромысло,yoke
нюанс,nuance
швабра,mop
кортик,dirk
затяжка,inhaling
доблесть,valour
обозрение,surveying
пилюля,pill
плеск,splash
сгусток,clot
избавление,deliverance
срез,cut
брусок,whetstone
труппа,troupe
гнида,nit
шантаж,blackmail
прораб,work superintendent
плуг,plough
вьюк,pack
сноп,sheaf
виселица,gallows
пуск,starting
дамка,king
качка,rocking
пылесос,vacuum cleaner
условность,conditional character
постоялец,lodger
беркут,golden eagle
булочка,roll
лапша,noodles
промышленник,manufacturer
батарейка,battery
решительность,resolution
благословение,blessing
кал,faeces
кинематограф,cinema
половица,floor board
афоризм,aphorism
аул,aul
опричник,oprichnik
мурашка,small ant
плевок,spit
люкс,lux
неведение,ignorance
наклонность,inclination
вахтёр,senior watchman
разгрузка,unloading
скептик,sceptic
пристав,police-officer
императрица,empress
ликование,rejoicing
щедрость,generosity
чуб,forelock
волокно,fibre
подсказка,prompt
ямочка,dimple
шпилька,hair-pin
мокрота,phlegm
электроника,electronics
разбег,running start
изящество,refinement
крейсер,cruiser
воинство,army
мясорубка,meat-chopper
деликатность,delicacy
келья,cell
топка,heating
сертификат,certificate
зелье,potion
дворянство,nobility
сверчок,cricket
павлин,peacock
клизма,enema
классификация,classification
враждебность,hostility
дож,doge
вентиляция,ventilation
неспособность,lack of ability
тайм,time
древесина,wood
противовес,counterbalance
предбанник,dressing-room
рудокоп,miner
контингент,contingent
психопат,psychopath
медуза,medusa
Екатеринбург,Yekaterinburg
выкуп,redemption
примирение,reconciliation
тара,package
кооператор,co-operator
дозор,patrol
обсерватория,observatory
жаворонок,lark
удел,lot
локализация,localization
нападающий,forward
миллиметр,millimetre
сборище,assemblage
модуль,modulus
законодатель,legislator
подозрительность,suspiciousness
доктрина,doctrine
частушка,chastooshka
ключица,collar-bone
моток,skein
следование,movement
свечение,luminescence
суеверие,superstition
мотоциклист,motor-cyclist
скрипач,violinist
плантация,plantation
хомут,collar
агат,agate
впадина,hollow
повадка,habit
шестерик,six-in-hand
мерин,gelding
амнистия,amnesty
куратор,curator
щупальце,tentacle
мор,pestilence
головорез,cut-throat
дизайн,design
возница,driver
раздевалка,cloak-room
подвода,cart
заграждение,barrier
лопасть,blade
затишье,calm
передник,apron
спекуляция,speculation
оазис,oasis
почесть,honour
сруб,felling
сборка,assembling
отлив,ebb
питомец,foster-child
отрыв,tearing off
радиоприёмник,receiver
земледелие,agriculture
обрубок,stump
недомогание,indisposition
балахон,loose overall
камуфляж,camouflage
разгадка,solution
вольность,liberty
шифровка,enciphering
счастливец,lucky man
дешёвка,low price
явка,appearance
абонент,subscriber
предвкушение,anticipation
сибиряк,Siberian
целесообразность,expediency
американка,American woman
исправление,correction
радиатор,radiator
цинк,zinc
указка,pointer
томик,small volume
непривычка,want of habit
ринг,ring
стрижка,hair-cutting
ледокол,ice-breaker
язычок,uvula
мель,shoal
аршин,arshin
дремота,drowsiness
эпитет,epithet
аномалия,anomaly
высотка,hillock
глагол,verb
омар,lobster
масон,freemason
удобрение,fertilizing
путина,fishing
астма,asthma
метрополитен,the underground
завистник,envious person
мадемуазель,mademoiselle
антихрист,antichrist
регулирование,regulation
лис,dog-fox
гениальность,genius
княжна,princess
дегенерация,degeneration
летопись,chronicle
мумия,mummy
глазница,eye-socket
очарование,charm
глушитель,silencer
глицерин,glycerine
чешуя,scales
жёлчь,bile
прямота,straightforwardness
розетка,rosette
заклятие,oath
ар,are
вырезка,cutting out
кондуктор,conductor
оглядка,looking back
монография,monograph
знакомец,acquaintance
труха,dust
смельчак,bold spirit
моторист,motor-mechanic
полировка,polish
срам,shame
перевязка,bandaging
синедрион,sanhedrim
конспирация,observation of the rules of security
отмель,bar
манифест,manifesto
четвертак,twenty five roubles
фольклор,folklore
слобода,a large village of settlement
склянка,phial
гуманизм,humanism
ревизия,inspection
пищевод,gullet
неопределённость,vagueness
бойня,slaughter-house
идеалист,idealist
разумение,understanding
упряжка,team
газетчик,newspaper seller
фейерверк,firework
круп,croup
настой,infusion
роспись,painting
дипломатия,diplomacy
невиновность,innocence
шик,stylishness
бот,boat
ландшафт,landscape
кадет,cadet
лощина,hollow
варежка,mitten
черёмуха,bird cherry tree
посудина,vessel
лишай,lichen
постамент,pedestal
резьба,carving
кладь,load
этикет,etiquette
вещица,little thing
пуговка,small button
расщелина,cleft
влагалище,vagina
переселение,migration
жестянка,tin
пучина,gulf
хиппи,hippie
прыгун,jumper
прорубь,ice-hole
динамик,loud speaker
комментатор,commentator
кров,roof
раздача,distribution
голландец,Dutchman
глюкоза,glucose
зародыш,embryo
индустриализация,industrialization
снасть,tackle
разбирательство,trial
токарь,turner
детвора,kiddies
живность,living creatures
осыпь,scree
хватка,grasp
автобаза,motor depot
наследственность,heredity
терем,room
жилетка,waistcoat
бормотание,mutter
громила,burglar
похлёбка,soup
стремя,stirrup
горесть,sorrow
патриарх,patriarch
ислам,Islam
загрязнение,soiling
целостность,integrity
дикость,wildness
беготня,running about
оглобля,shaft
баллада,ballad
пискун,squeaker
метка,marking
роговица,cornea
мазут,mazut
пробирка,test-tube
кенгуру,kangaroo
балда,heavy sledge-hammer
древо,tree
однокашник,school-fellow
маскарад,masquerade
гигиена,hygiene
чрево,belly
национализм,nationalism
юнкер,cadet
уезд,uyezd
тужурка,double-breasted jacket
яркость,brightness
карантин,quarantine
самоутверждение,self-affirmation
ель,fir
предосторожность,caution
балаган,booth
переделка,alteration
стойбище,nomad camp
спад,slump
черенок,handle
подушечка,pincushion
стойкость,firmness
прокат,hire
воронка,funnel
нанесение,drawing
православие,orthodoxy
безумец,madman
варево,soup
школьница,schoolgirl
вермахт,Wehrmacht
пластырь,plaster
кок,cook
наклон,inclination
классика,the classics
пастушок,swain
зенитка,anti-aircraft weapon
рубрика,rubric
горн,furnace
терроризм,terrorism
этюд,study
кровоизлияние,haemorrhage
посланник,envoy
глухомань,wilderness
каратель,chastiser
перекур,smoke break
наводка,foil
турбина,turbine
сударыня,madam
компресс,compress
кроха,little one
клетчатка,cellulose
альфа,alpha
циник,cynic
гнёт,press
совместительство,pluralism
сарафан,sarafan
купальник,swimsuit
носильщик,porter
средневековье,the Middle Ages
роба,overalls
бугай,bull
новелла,short story
дикобраз,porcupine
канун,eve
похождение,adventure
свора,lead
компонент,component
нахождение,being
гусар,hussar
канцлер,chancellor
коллекционер,collector
виток,coil
пропитание,subsistence
новизна,novelty
вестник,herald
вложение,enclosure
тик,tic
реанимация,reanimation
специализация,specialization
покровительство,patronage
ссуда,loan
хроника,chronicle
партнёрша,partner
зажигание,lighting
дилетант,amateur
покаяние,confession
забегаловка,snack-bar
тоталитаризм,totalitarianism
магнит,magnet
уловка,ruse
раввин,rabbi
ореол,halo
детище,child
покрышка,cover
празднование,celebration
устремление,aspiration
наведение,induction
закладка,laying
гирлянда,garland
саквояж,travelling-bag
поощрение,encouragement
тишь,calm
смычок,bow
потеха,fun
окунь,perch
мочеиспускание,urination
комсомолка,member of the Komsomol
динозавр,dinosaur
махинация,machination
истечение,outflow
субстанция,substance
стимул,stimulus
дарование,gift
злорадство,malicious joy
геометрия,geometry
стрекоза,dragon-fly
направленность,direction
подражание,imitation
компетенция,competence
товарищество,comradeship
состязание,contest
завоеватель,conqueror
хвала,praise
улов,catch
сложение,adding
уступ,ledge
медальон,medallion
теплушка,shelter
обшивка,edging
бургомистр,burgomaster
туш,flourish
волок,portage
изнасилование,rape
оплошность,inadvertence
обитель,dwelling-place
жужжание,hum
побоище,slaughter
пловец,swimmer
жюри,judges
брод,ford
кастет,knuckle-duster
человечность,humaneness
кардинал,cardinal
составление,composition
ученица,pupil
телезритель,viewer
кречет,gyrfalcon
сплетение,interlacing
сотрудница,collaborator
монарх,monarch
боёк,firing-pin
картофелина,potato
смертник,prisoner sentenced to death
изыскатель,prospector
викинг,viking
эгоизм,selfishness
софа,sofa
русалка,mermaid
раскат,roll
убеждённость,conviction
бунтовщик,rioter
набег,raid
сосулька,icicle
Чехия,Czech Republic
эгоист,egoist
голубизна,blue
помысел,thought
коварство,insidiousness
инквизитор,inquisitor
прорезь,cut
домысел,conjecture
стремянка,step-ladder
пищеварение,digestion
бур,bore
переполох,alarm
частник,private trader
полустанок,halt
хобби,hobby
крепление,fastening
облигация,bond
шизофрения,schizophrenia
латыш,Lett
башенка,turret
нагромождение,piling up
манекен,mannequin
излишество,over-indulgence
титан,Titan
прототип,prototype
полотнище,width
трата,expenditure
подкрепление,confirmation
краситель,dye
утроба,womb
достопримечательность,something worth seeing
поплавок,float
святыня,object of worship
мистика,mysticism
раскол,split
зуд,itch
усмотрение,discretion
семёрка,seven
комнатушка,poky little room
желвак,tumour
баланда,skilly
маркиз,marquis
топорик,hatchet
портупея,sword-belt
аппендицит,appendicitis
эпилог,epilogue
росток,sprout
созерцание,contemplation
плазма,plasm
параллель,parallel
десятник,foreman
заявитель,declarant
живописец,painter
пересмотр,revision
пробел,blank
уплата,payment
подвижность,mobility
лупа,magnifier
полтинник,fifty copecks
стеснение,constraint
проигрыш,loss
компаньон,companion
вакуум,vacuum
рельеф,relief
француженка,Frenchwoman
акционер,shareholder
медсанбат,medical and sanitary battalion
фальшивка,fraud
плаха,block
сыворотка,whey
дальность,distance
премудрость,wisdom
ампула,ampoule
изъян,flaw
трение,friction
иммунитет,immunity
гангрена,gangrene
полог,-curtains
чудище,monster
домино,dominoes
сподвижник,associate
крещение,baptism
жетон,counter
слепота,blindness
везение,luck
государственность,State system
елей,anointing oil
эрозия,erosion
алфавит,alphabet
божество,deity
брюнет,dark man
искатель,seeker
отражатель,reflector
подкладка,lining
тучка,cloudlet
парапет,parapet
гадюка,adder
обобщение,generalization
предохранитель,safety device
пёрышко,plumelet
валик,roller
окружность,circumference
рупор,speaking-trumpet
деликатес,delicacy
отпрыск,offshoot
марево,mirage
длительность,duration
сечение,section
скорлупа,shell
расчёска,comb
деградация,degradation
алюминий,aluminium
околица,village fence
братия,community
ракушка,cockle-shell
каркас,framework
покойница,the deceased
пластмасса,plastic
кайло,hack
согражданин,fellow-citizen
багор,hook
корысть,profit
поганка,toadstool
монархия,monarchy
сонливость,sleepiness
сорняк,weed
чертовщина,devilry
продление,prolongation
свекровь,mother-in law
скоба,cramp
горчичник,mustard plaster
либерализм,liberalism
нахальство,impudence
торшер,standard lamp
арифметика,arithmetic
раскрытие,opening
модернизация,modernization
изречение,apophthegm
подсвечник,candlestick
индикатор,indicator
пепелище,site of fire
эскадрилья,squadron
вьюга,snowstorm
песчинка,grit
полемика,controversy
головешка,fire-brand
колыбель,cradle
шлейф,train
адресат,addressee
краса,beauty
капелла,choir
киргиз,Kirghiz
государыня,sovereign
начинание,undertaking
табло,indicator board
прирост,increase
афера,shady transaction
весёлость,gaiety
синтез,synthesis
крутизна,steepness
пальба,firing
карнавал,carnival
выпадение,fall
явь,reality
ковбойка,cowboy shirt
периметр,perimeter
застёжка,fastening
водоворот,whirlpool
хоровод,round dance
бидон,can
птенец,nestling
шелуха,husk
промедление,delay
осока,sedge
юрта,jurt
инсульт,cerebral thrombosis
гурия,houri
мальчуган,little boy
плавник,fin
влажность,humidity
перебой,stoppage
лавочник,shop-keeper
освободитель,liberator
наружность,appearance
шиповник,dog-rose
филолог,philologist
егерь,huntsman
эпиграф,epigraph
креветка,shrimp
центнер,metric centner
флотилия,flotilla
вертикаль,vertical line
собутыльник,boon companion
зонд,probe
тяготение,gravity
солист,soloist
программирование,programming
сцепление,cohesion
лещ,bream
сужение,narrowing
смазка,smearing
вакансия,vacancy
странствие,wandering
остроумие,wit
лежанка,stove-bench
волосатик,hair-worm
притон,den
красногвардеец,Red Guard
репа,turnip
мечтание,dreaming
зверство,brutality
перекрытие,floor
невинность,innocence
невежда,ignoramus
прочтение,reading
ветеринар,veterinary
монтаж,assembling
либерал,liberal
дачник,summer resident
катаклизм,cataclysm
упоение,rapture
бородавка,wart
эскадра,squadron
подлинник,original
наложение,superposition
слякоть,slush
пошлина,duty
шмотки,belongings
испарение,evaporation
несовершенство,imperfection
голубушка,my dear
чета,couple
перина,feather-bed
смета,estimate
космодром,space-vehicle launching site
подворье,coaching inn
противодействие,opposition
гаубица,howitzer
пастбище,pasture
коалиция,coalition
чёткость,clearness
транспортёр,conveyer
грим,make-up
барабанщик,drummer
кладка,laying
лазер,laser
полынья,polynia
паштет,paste
фиалка,violet
лебёдка,female swan
истопник,stoker
австралиец,Australian
скитание,wandering
наезд,flying visit
эпопея,epopee
трансформация,transformation
канон,canon
торговка,market-woman
расплата,payment
лайка,husky
какао,cocoa
передок,detachable front
миокард,myocardium
подачка,sop
процветание,prosperity
шезлонг,chaise longue
бессмысленность,senselessness
взаимопонимание,mutual understanding
фантом,phantom
виноградник,vineyard
мразь,scum
лентяй,lazy person
домработница,servant
колпачок,gas mantle
рисование,drawing
укоризна,reproach
материализм,materialism
бабёнка,wench
капсула,capsule
говядина,beef
увечье,mutilation
разворот,turn
мастика,mastic
пустышка,shallow person
карикатура,caricature
неумение,inability
горячность,ardour
уроженец,native
скакун,fast horse
переливание,pouring
презерватив,condom
рогатка,turnpike
бархан,barkhan
разлив,flood
петрушка,Punch
реставратор,restorer
интурист,intourist
мансарда,attic
судак,pike-perch
ковбой,cowboy
ладья,boat
деревяшка,piece of wood
ожесточение,bitterness
пересылка,sending
филармония,Philharmonic Society
запал,broken wind
предпринимательство,business undertakings
брус,squared beam
саркофаг,sarcophagus
конюх,groom
ложбина,narrow gully
душок,musty smell
таинственность,mystery
интеллигентность,refinement
дурень,simpleton
перебор,running over
допуск,right of entry
ностальгия,nostalgia
аллергия,allergy
кладовщик,storekeeper
осьминог,octopus
подшипник,bearing
трезвость,soberness
голень,shin
тройник,tee
раздражительность,irritability
израильтянин,Israeli
хладнокровие,coolness
царевна,tsarevna
контрабанда,contraband
безнадёжность,hopelessness
страдалец,sufferer
хунта,junta
кадка,tub
хуторянин,farmer
экология,ecology
устой,abutment
перст,finger
мантия,cloak
ассортимент,assortment
первосвященник,high priest
подмётка,sole
толчея,crowd
кооперация,co-operation
нотариус,notary
задвижка,bolt
мандарин,mandarin
плед,rug
внушение,suggestion
талисман,talisman
пашня,ploughed field
плащаница,shroud of Christ
контрреволюция,counter-revolution
экскаватор,excavator
шестерня,gear
реорганизация,reorganization
госпитализация,hospitalization
взяточник,bribe-taker
пролётка,droshky
осанка,carriage
оттепель,thaw
ликёр,liqueur
эскалатор,escalator
батенька,old man
позвонок,vertebra
фикус,ficus
знамение,sign
индивид,individual
заминка,hitch
тетива,bow-string
сито,sieve
трудоустройство,placing in a job
самородок,nugget
периферия,periphery
работоспособность,capacity for work
вмятина,dent
горбушка,crust
воскресение,resurrection
проделка,trick
волейбол,volley-ball
виллис,jeep
горчица,mustard
рыболов,fisher
отворот,lapel
мякоть,pulp
сеновал,mow
сажень,sazhen
интеграция,integration
сыч,little owl
арап,blackamoor
гравюра,engraving
лаз,manhole
челнок,dug-out
бомбардировка,bombardment
ботва,leafy tops of root vegetables
прокол,puncture
меркурий,Mercury
снисхождение,lenience
маслёнок,Boletus luteus
провизия,provisions
обманщик,deceiver
вираж,turn
студень,galantine
казначей,treasurer
пятерня,all five fingers
страхование,insurance
переброска,transfer
баскетбол,basketball
пенсионерка,pensioner
экзотика,exotic character
таран,battering-ram
круча,steep slope
покрой,cut
кормление,feeding
кипа,pile
наводнение,flood
потёк,stain
перегар,residual taste of alcohol in the mouth
пирс,pier
фасон,fashion
каптёрка,depot of a military unit
импотент,impotent man
проституция,prostitution
вручение,handing
довольствие,allowance
голодание,starvation
конница,cavalry
штанга,bar
манжета,cuff
взаимопомощь,mutual aid
художество,art
теорема,theorem
диктофон,dictaphone
нарастание,growth
пек,pitch
конура,kennel
пьедестал,pedestal
маразм,marasmus
бильярд,billiards
затемнение,darkening
приманка,bait
шитьё,sewing
первокурсник,freshman
творило,lime-pit
столп,pillar
избиение,beating
выдвижение,advancement
шуршание,rustling
снедь,food
чужеземец,stranger
внезапность,suddenness
ватман,Whatman
хроник,chronic invalid
сепсис,septicaemia
подкидыш,foundling
поспешность,hurry
термометр,thermometer
легкомыслие,lightness
обёртка,wrapper
значительность,importance
военком,military commissar
сдержанность,restraint
торгаш,mercenary-minded person
перенос,carrying over
сироп,syrup
смертность,mortality
вычисление,calculation
феникс,Phoenix
форель,trout
банкротство,bankruptcy
влюблённость,being in love
репродукция,reproduction
прелюдия,prelude
перечисление,enumeration
нашивка,stripe
рыбина,a big fish
сорока,magpie
помощница,assistant
лимит,limit
недруг,enemy
наколка,head-dress
склеп,vault
смотр,review
разбой,robbery
малец,lad
движок,slide
хоккеист,hockey player
метеорит,meteorite
реалист,realist
заслон,covering force
сор,litter
стереотруба,stereoscopic telescope
жёлоб,gutter
излечение,recovery
проулок,lane
тент,awning
учредитель,founder
орешник,nut-tree
абхазец,Abkhazian
превышение,exceeding
злодейство,villainy
мошка,midge
еженедельник,weekly
дублёнка,sheepskin coat
взрыватель,detonating fuse
лыко,bast
распятие,crucifixion
обогащение,enrichment
искажение,distortion
гать,corduroyroad
барашек,lamb
брюшко,belly
тол,tolite
ведёрко,bucket
прицеп,trailer
кинорежиссёр,film director
привлекательность,attractiveness
лоза,rod
оглавление,table of content
кормушка,trough
поступь,step
карьерист,careerist
внучка,granddaughter
беспечность,unconcerned
самозванец,impostor
сходка,meeting
доха,fur-coat
возвышенность,height
предплечье,forearm
дамба,dam
целость,safety
тенор,tenor
циновка,mat
патрубок,branch pipe
лацкан,lapel
инвентарь,stock
удилище,fishing-rod
брюнетка,brunette
кавалерия,cavalry
злодеяние,crime
лютик,spearwort
ярлык,yarlyk
заика,stammerer
куль,sack
тягота,burden
оптимист,optimist
самокрутка,cigarette rolled by smoker
халтура,hack-work
гостинец,present
заслонка,oven-door
автоматика,automation
пассаж,passage
курятник,hen-coop
желтуха,jaundice
жезл,rod
непорядок,disorder
диагностика,diagnostics
донор,donor
черпак,scoop
менструация,period
растяжка,stretching
уродство,deformity
крестьянка,peasant woman
ухаб,pot-hole
чёлка,fringe
диво,wonder
хохол,crest
прохвост,scoundrel
просчёт,checking
седловина,saddle
властелин,lord
приписка,addition
болезненность,sickliness
лояльность,loyalty
преддверие,threshold
гарем,harem
многообразие,variety
вага,weighing-machine
склероз,sclerosis
угнетение,oppression
плётка,lash
рухлядь,lumber
одиссея,Odyssey
трансляция,transmission
мещанство,lower middle classes
индус,Hindu
диафрагма,diaphragm
давка,crush
сатира,satire
идентификация,identification
принуждение,compulsion
рябина,mountain ash
авиакомпания,airline
нажива,gain
норка,mink
взыскание,penalty
холоп,villein
экзаменатор,examiner
деноминация,denomination
курдюк,fat tail
выкладка,laying-out
санчасть,medical unit
квашня,kneading trough
несостоятельность,insolvency
отвод,rejection
прореха,rent
фитиль,wick
мистик,mystic
ладан,incense
заноза,splinter
бездействие,inaction
смрад,stink
гомосексуалист,homosexual
сегмент,segment
примочка,wash
киностудия,film studio
пародия,parody
новостройка,erection of new buildings
урегулирование,regulating
утварь,utensils
заплата,patch
ананас,pineapple
атеист,atheist
сервант,sideboard
кривизна,curvature
неравенство,inequality
причуда,whim
завиток,lock
однообразие,monotony
ранец,haversack
свершение,achievement
завывание,howling
сумасшествие,mental illness
щебень,road-metal
благоустройство,equipping with services and utilities
извилина,bend
антисемит,anti-Semite
советчик,adviser
абрикос,apricot
местонахождение,location
импровизация,improvisation
биограф,biographer
глас,voice
таинство,sacrament
гробница,tomb
доверчивость,trustfulness
пристройка,annex
сгиб,bend
осечка,misfire
гармонь,Accordion
суша,land
пожарище,site of fire
мотивация,motivation
коровник,dairy man
микроорганизм,microorganism
маятник,pendulum
отсрочка,postponement
деформация,deformation
бастион,bastion
садовод,gardener
грёза,dream
произношение,pronunciation
монахиня,nun
месиво,mash
москвичка,Muscovite
мучитель,tormentor
вышина,height
капитуляция,capitulation
кофейня,coffee-house
накал,incandescence
панихида,service for the dead
разруха,ruin
ион,ion
митрополит,metropolitan
спесь,arrogance
окись,oxide
кузница,smithy
шквал,squall
корт,court
проницательность,perspicacity
избрание,election
мракобес,obscurantist
созревание,ripening
выселок,settlement
транс,trance
привод,drive
стручок,pod
осведомлённость,knowledge
награждение,rewarding
кросс,cross-country race
ловец,fisher
ересь,heresy
милочка,dear
самообладание,self-control
курилка,smoking-room
демагогия,demagogy
лучина,splinter
фальшь,falsity
детонатор,detonator
пляс,dance
бальзам,balsam
атташе,attache
корреспонденция,mail
контузия,contusion
предвидение,foresight
публицист,publicist
комета,comet
клубника,strawberries
смородина,currants
финансист,financier
шурин,brother-in-law
декада,ten-day period
канонада,cannonade
рыбёшка,small fry
горошек,spots
астрономия,astronomy
сетчатка,retina
соплеменник,fellow-tribesman
детёныш,the young
балалайка,balalaika
порождение,result
мордобой,fight
лицемерие,hypocrisy
командор,knight commander
локатор,locator
ширинка,fly
бездарность,lack of talent
серость,grey colour
инвалидность,disablement
свая,pile
гипертония,hypertension
несогласие,difference of opinion
неточность,inaccuracy
вариация,variation
рецидивист,recidivist
пролог,prologue
бронхит,bronchitis
дебют,debut
поэтесса,poetess
веха,landmark
самоуверенность,self-confidence
крематорий,crematorium
отчим,stepfather
дюна,dune
дисплей,display
экспансия,expansion
компилятор,compiler
сынишка,son
смута,disturbance
собеседование,interview
затмение,eclipse
вялость,flabbiness
тунеядец,sponger
скирда,stack
прозрачность,transparence
опус,opus
крепыш,sturdy child
совок,scoop
запрещение,prohibition
сношение,intercourse
лот,lead
благоговение,awe
ларец,casket
облом,clodhopper
гуманист,humanitarian
вырез,cut
лесоруб,wood-cutter
маслина,olive
медлительность,sluggishness
остов,frame
наглец,insolent fellow
колба,retort
особь,individual
писец,clerk
трепало,swingle
клич,call
металлург,metallurgist
мимика,mimicry
набросок,draft
расшифровка,deciphering
аккуратность,exactness
оплеуха,box on the ear
патент,patent
героин,heroin
кошёлка,gab
трёшка,three roubles
счетовод,accountant
захватчик,aggressor
атлас,atlas
литературовед,specialist in study of literature
салага,young inexperienced sailor
пиршество,feast
мещанин,petty bourgeois
настояние,insistence
мерцание,twinkling
шкалик,shkalik
кочевник,nomad
правнук,great-grandson
покос,mowing
раздор,discord
отрок,boy
поросль,verdure
довершение,completion
столбец,column
приведение,bringing
сток,flow
зануда,bore
тюремщик,warder
голодовка,hunger
объективность,objective character
красноречие,eloquence
болт,bolt
манекенщица,model
бульдог,bulldog
кочерга,poker
поприще,field
букварь,ABC
распределитель,distributor
подтекст,implication
испражнение,defecation
неверие,disbelief
животик,paunch
мифология,mythology
турне,tour
обладание,possession
вырождение,degeneration
миниатюра,miniature
эмаль,enamel
виртуоз,virtuoso
сосредоточение,concentration
отток,outflow
рецидив,set-back
заверение,positive statement
засека,abatis
телосложение,build
рытвина,rut
аксиома,axiom
огласка,publicity
хлев,cattle-shed
мозаика,mosaic
сушка,drying
эпиграмма,epigram
баловство,petting
пыльца,pollen
анархия,anarchy
горилла,gorilla
личинка,larva
координация,co-ordination
мечтатель,dreamer
фарш,stuffing
свищ,fistula
селектор,selector
телекамера,TV camera
австриец,Austrian
мегафон,megaphone
хлыст,whip
извержение,eruption
истукан,idol
меценат,patron of art
изгнанник,exile
этажерка,book-stand
посвящение,dedication
перепонка,membrane
ишак,ass
свинство,swinishness
мерзлота,frozen condition of ground
чёрточка,hyphen
мандат,mandate
орава,crowd
волчонок,wolf-cub
дурость,folly
опровержение,refutation
хомяк,hamster
оборванец,ragamuffin
солдатня,soldiery
завсегдатай,habitue
мешковина,sacking
мускулатура,muscular system
шкипер,skipper
генетика,genetics
согласование,concord
зубец,tooth
криминал,criminal case
бубенчик,bell
колышек,peg
полынь,wormwood
павиан,baboon
турбаза,tourist centre
идиллия,idyll
леспромхоз,timber industry enterprise
дармоед,parasite
психиатрия,psychiatry
уединение,solitude
болячка,sore
оранжерея,hothouse
маз,mace
шабаш,sabbath
штемпель,stamp
отшельник,hermit
разгул,raging
замазка,putty
тематика,subjects
усовершенствование,improvement
накат,dead floor
картонка,pasteboard-box
маляр,painter
желтизна,yellowness
амазонка,Amazon
строфа,stanza
фишка,counter
берет,beret
проблеск,flash
склока,squabble
молва,rumour
каравай,round loaf
провинциал,provincial
расстановка,placing
плошка,earthen saucer
щиток,corselet
зубок,bit
нейтралитет,neutrality
первенец,first-born
кокон,cocoon
пропагандист,propagandist
отвал,mouldboard
ракетка,racket
телеэкран,television screen
огрызок,bit
налогоплательщик,tax-payer
дельта,delta
пуп,navel
аудиенция,audience
сообразительность,quick wits
вобла,vobla
почитатель,admirer
кредитор,creditor
размножение,reproduction in quantity
черепица,tile
пособник,accomplice
бойница,loop-hole
опись,list
холуй,lackey
мечеть,mosque
полоз,sledge runner
костёл,Polish Roman-Catholic church
вербовка,recruiting
тирада,tirade
приверженец,adherent
вексель,note of hand
предводительница,leader
секреция,secretion
барбос,mongrel watch-dog
взаимосвязь,intercommunication
торс,trunk
лакомство,dainties
альт,viola
аврал,work involving all hands
строчка,stitch
убранство,decoration
неприкосновенность,inviolability
алтын,three-copeck piece
каста,caste
калач,kalatch
реликвия,relic
западня,trap
ныряло,plunger
конфуз,discomfiture
профком,local trade union committee
хирургия,surgery
кальмар,squid
кубометр,cubic metre
отара,flock
слиток,ingot
протяжённость,extent
вол,ox
доверенность,warrant
дымка,haze
балбес,booby
радиола,radio-gramophone
высокомерие,haughtiness
словосочетание,word-combination
зверьё,wild beasts
празднество,festival
дворничиха,wife of dvornik
леденец,fruit-drop
гардеробщик,cloak-room attendant
